Training Network Parameters
Population Size: 100
Num Reproducers: 10

Generation 0
Creature 0: Score = 488, Features = [8, 5.333560841718584, [787, 49, 61, 35, 2]]
Creature 1: Score = 73, Features = [23, 2.5229495247956377, [787, 89, 41, 55, 2]]
Creature 2: Score = 369, Features = [20, 6.4630467361371124, [787, 21, 47, 17, 2]]
Creature 3: Score = 488, Features = [27, 7.560754910422778, [787, 36, 100, 92, 2]]
Creature 4: Score = 488, Features = [26, 3.0300789490841353, [787, 95, 99, 74, 2]]
Creature 5: Score = 488, Features = [34, 9.414577657048323, [787, 72, 52, 48, 2]]
Creature 6: Score = 70, Features = [15, 7.044653023611508, [787, 68, 29, 29, 2]]
Creature 7: Score = 70, Features = [21, 1.888835702259315, [787, 73, 7, 52, 2]]
Creature 8: Score = 415, Features = [34, 1.0337506827636123, [787, 70, 59, 12, 2]]
Creature 9: Score = 488, Features = [38, 7.070788369094756, [787, 5, 9, 77, 2]]
Creature 10: Score = 277, Features = [32, 1.7113992564136937, [787, 56, 23, 4, 2]]
Creature 11: Score = 286, Features = [20, 4.167231421397521, [787, 35, 63, 89, 2]]
Creature 12: Score = 488, Features = [48, 7.104296998452937, [787, 95, 80, 87, 2]]
Creature 13: Score = 491, Features = [3, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 14: Score = 108, Features = [12, 8.916658805438525, [787, 67, 43, 2, 2]]
Creature 15: Score = 70, Features = [5, 9.044038710053108, [787, 12, 16, 79, 2]]
Creature 16: Score = 104, Features = [1, 2.645318449492536, [787, 47, 91, 93, 2]]
Creature 17: Score = 487, Features = [37, 3.974506408711872, [787, 99, 86, 28, 2]]
Creature 18: Score = 489, Features = [18, 6.140370703116619, [787, 65, 78, 26, 2]]
Creature 19: Score = 70, Features = [34, 8.723047980276174, [787, 28, 40, 84, 2]]
Creature 20: Score = 488, Features = [27, 6.419033961712749, [787, 75, 84, 71, 2]]
Creature 21: Score = 315, Features = [18, 6.061998822400497, [787, 67, 84, 29, 2]]
Creature 22: Score = 70, Features = [10, 9.016881593137354, [787, 44, 73, 11, 2]]
Creature 23: Score = 488, Features = [46, 4.999308135637169, [787, 86, 62, 82, 2]]
Creature 24: Score = 488, Features = [9, 2.293564145928272, [787, 51, 78, 72, 2]]
Creature 25: Score = 417, Features = [12, 2.5192108472399335, [787, 80, 5, 78, 2]]
